Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
A01,SYBR,,Std-01,STD1,,17.10504313,17.05908985,0.064987752,3E+11,11.47712125,3E+11,0,60,
A02,SYBR,,Std-01,STD1,,17.01313657,17.05908985,0.064987752,3E+11,11.47712125,3E+11,0,60,
A07,SYBR,,Unkn-17,9.2_B,,17.31998087,17.34090088,0.029585366,3.51691E+11,11.54616096,3.47048E+11,6566021965,60,
A08,SYBR,,Unkn-17,9.2_B,,17.3618209,17.34090088,0.029585366,3.42405E+11,11.5345401,3.47048E+11,6566021965,60,
A09,SYBR,,Unkn-25,10.3_C,,18.06644289,18.05428699,0.017191031,2.1819E+11,11.33883488,2.199E+11,2417571412,60,
A10,SYBR,,Unkn-25,10.3_C,,18.0421311,18.05428699,0.017191031,2.21609E+11,11.34558736,2.199E+11,2417571412,60,
A11,SYBR,,Unkn-33,11.4_B,,17.53303569,17.70006811,0.236219512,3.06892E+11,11.48698605,2.77375E+11,41744277376,60,
A12,SYBR,,Unkn-33,11.4_B,,17.86710053,17.70006811,0.236219512,2.47857E+11,11.39420122,2.77375E+11,41744277376,60,
B01,SYBR,,Std-02,STD2,,21.59876227,21.61774467,0.026845166,30000000000,10.47712125,30000000000,0,60,
B02,SYBR,,Std-02,STD2,,21.63672707,21.61774467,0.026845166,30000000000,10.47712125,30000000000,0,60,
B05,SYBR,,Unkn-10,10.5_C,,17.06436752,17.13195233,0.095579353,4.14149E+11,11.61715628,3.97E+11,24251920725,60,
B06,SYBR,,Unkn-10,10.5_C,,17.19953714,17.13195233,0.095579353,3.79851E+11,11.5796136,3.97E+11,24251920725,60,
B07,SYBR,,Unkn-18,7.5_B,,17.25358747,17.31121919,0.081503558,3.66945E+11,11.56460139,3.53907E+11,18438740869,60,
B08,SYBR,,Unkn-18,7.5_B,,17.36885091,17.31121919,0.081503558,3.40869E+11,11.53258755,3.53907E+11,18438740869,60,
B09,SYBR,,Unkn-26,11.3_C,,17.36174543,17.35004378,0.01654863,3.42422E+11,11.53456106,3.45003E+11,3651229520,60,
B10,SYBR,,Unkn-26,11.3_C,,17.33834213,17.35004378,0.01654863,3.47585E+11,11.54106121,3.45003E+11,3651229520,60,
B11,SYBR,,Unkn-34,10.4_A,,17.3463444,17.49433385,0.209288695,3.45811E+11,11.53883862,3.15993E+11,42168789173,60,
B12,SYBR,,Unkn-34,10.4_A,,17.64232331,17.49433385,0.209288695,2.86175E+11,11.45663196,3.15993E+11,42168789173,60,
C01,SYBR,,Std-03,STD3,,25.43267242,25.40026067,0.045837142,3000000000,9.477121255,3000000000,0,60,
C02,SYBR,,Std-03,STD3,,25.36784891,25.40026067,0.045837142,3000000000,9.477121255,3000000000,0,60,
C05,SYBR,,Unkn-11,15.5_C,,17.82898264,17.82560818,0.004772207,2.53973E+11,11.40478827,2.54523E+11,776796053.6,60,
C06,SYBR,,Unkn-11,15.5_C,,17.82223372,17.82560818,0.004772207,2.55072E+11,11.40666275,2.54523E+11,776796053.6,60,
C07,SYBR,,Unkn-19,6.5_B,,17.50418241,17.50803425,0.005447324,3.12608E+11,11.4949999,3.1184E+11,1086364727,60,
C08,SYBR,,Unkn-19,6.5_B,,17.51188609,17.50803425,0.005447324,3.11072E+11,11.49286025,3.1184E+11,1086364727,60,
C11,SYBR,,Unkn-35,7.2_A,,17.01896286,16.95877239,0.085122171,4.26351E+11,11.6297672,4.43411E+11,24126628330,60,
C12,SYBR,,Unkn-35,7.2_A,,16.89858193,16.95877239,0.085122171,4.60471E+11,11.66320239,4.43411E+11,24126628330,60,
D01,SYBR,,Std-04,STD4,,27.7948536,27.79966841,0.006809162,300000000,8.477121255,300000000,0,60,
D02,SYBR,,Std-04,STD4,,27.80448321,27.79966841,0.006809162,300000000,8.477121255,300000000,0,60,
D03,SYBR,,Unkn-04,9.3_D,,17.74811202,17.65487214,0.131861093,2.67454E+11,11.42724968,2.84393E+11,23954245715,60,
D04,SYBR,,Unkn-04,9.3_D,,17.56163227,17.65487214,0.131861093,3.01331E+11,11.47904349,2.84393E+11,23954245715,60,
D05,SYBR,,Unkn-12,10.2_C,,17.65666067,17.60231823,0.076851813,2.83563E+11,11.45264983,2.93769E+11,14432667622,60,
D06,SYBR,,Unkn-12,10.2_C,,17.5479758,17.60231823,0.076851813,3.03974E+11,11.48283651,2.93769E+11,14432667622,60,
D11,SYBR,,Unkn-36,5.6_B,,17.51708679,17.60148425,0.119356033,3.10039E+11,11.49141578,2.94176E+11,22433236385,60,
D12,SYBR,,Unkn-36,5.6_B,,17.68588171,17.60148425,0.119356033,2.78313E+11,11.44453384,2.94176E+11,22433236385,60,
E03,SYBR,,Unkn-05,12.5_D,,17.63623259,17.64479303,0.012106289,2.87292E+11,11.45832363,2.85728E+11,2212183336,60,
E04,SYBR,,Unkn-05,12.5_D,,17.65335347,17.64479303,0.012106289,2.84164E+11,11.45356839,2.85728E+11,2212183336,60,
E05,SYBR,,Unkn-13,6.5_C,,17.80680973,17.87952338,0.102832638,2.576E+11,11.41094669,2.46162E+11,16177083446,60,
E06,SYBR,,Unkn-13,6.5_C,,17.95223704,17.87952338,0.102832638,2.34723E+11,11.37055498,2.46162E+11,16177083446,60,
E07,SYBR,,Unkn-21,3.4_D,,17.5683445,17.63045853,0.087842496,3.0004E+11,11.4771792,2.88582E+11,16203473581,60,
E08,SYBR,,Unkn-21,3.4_D,,17.69257255,17.63045853,0.087842496,2.77125E+11,11.44267549,2.88582E+11,16203473581,60,
E09,SYBR,,Unkn-29,10.5_A,,17.37876746,17.33872807,0.05662424,3.38714E+11,11.52983328,3.47613E+11,12585363404,60,
E10,SYBR,,Unkn-29,10.5_A,,17.29868869,17.33872807,0.05662424,3.56512E+11,11.55207475,3.47613E+11,12585363404,60,
E11,SYBR,,Unkn-37,9.2_D,,17.11306579,17.62327955,0.721551212,4.01449E+11,11.60363058,3.0524E+11,1.3606E+11,60,
E12,SYBR,,Unkn-37,9.2_D,,18.1334933,17.62327955,0.721551212,2.09032E+11,11.32021197,3.0524E+11,1.3606E+11,60,
F03,SYBR,,Unkn-06,5.2_A,,16.92732808,16.96845009,0.058155308,4.52083E+11,11.65521829,4.40501E+11,16379407367,60,
F04,SYBR,,Unkn-06,5.2_A,,17.00957211,16.96845009,0.058155308,4.28919E+11,11.63237543,4.40501E+11,16379407367,60,
F05,SYBR,,Unkn-14,5.4_A,,16.08724442,17.33031265,1.757963947,7.73655E+11,11.88854731,4.65714E+11,4.35494E+11,60,
F06,SYBR,,Unkn-14,5.4_A,,18.57338088,17.33031265,1.757963947,1.57774E+11,11.1980354,4.65714E+11,4.35494E+11,60,
F07,SYBR,,Unkn-22,13.1_B,,17.79282289,17.81655187,0.033557836,2.59915E+11,11.41483146,2.5603E+11,5494312655,60,
F08,SYBR,,Unkn-22,13.1_B,,17.84028084,17.81655187,0.033557836,2.52145E+11,11.40165025,2.5603E+11,5494312655,60,
F09,SYBR,,Unkn-30,6.2_D,,16.78277842,16.84987463,0.094888372,4.95868E+11,11.69536624,4.75478E+11,28836248845,60,
F10,SYBR,,Unkn-30,6.2_D,,16.91697084,16.84987463,0.094888372,4.55088E+11,11.65809497,4.75478E+11,28836248845,60,
F11,SYBR,,Unkn-38,13.2_A,,17.16654983,17.68057365,0.726939447,3.8795E+11,11.58877565,2.94485E+11,1.32179E+11,60,
F12,SYBR,,Unkn-38,13.2_A,,18.19459746,17.68057365,0.726939447,2.01021E+11,11.30324059,2.94485E+11,1.32179E+11,60,
G03,SYBR,,Unkn-07,6.3_A,,16.56436881,16.8050107,0.340319013,5.70202E+11,11.75602841,4.94668E+11,1.0682E+11,60,
G04,SYBR,,Unkn-07,6.3_A,,17.04565258,16.8050107,0.340319013,4.19135E+11,11.62235426,4.94668E+11,1.0682E+11,60,
G05,SYBR,,Unkn-15,2.3_B,,17.92635476,17.86556625,0.085967937,2.3864E+11,11.37774365,2.48288E+11,13643794040,60,
