"Sample","SQ.Mean_SCNAG","SQ.Mean_mtDNA","mtDNA.Mean","Cq.Mean_SCNAG","SQ.Mean_Telomeres","Cq.Mean_Telomeres","Telomeres.per.cell"
"10.1_B",56504.8034906822,1104546.1688939,19.5478278068172,27.38775363976,184264064307.366,18.6340680860648,3261033.62765878
"10.6_C",38509.5593051229,670352.171860076,17.4074225713328,27.9470770385194,189584173435.273,18.6054031735821,4923041.88508469
"11.1_C",61637.2494233776,727711.783121065,11.8063636831442,27.2607092646684,199050792820.703,18.5126666997354,3229391.23148489
"11.1_D",23478.6582410798,354807.239263799,15.1119044206285,28.6703286747049,127678981071.269,19.213663749316,5438086.78333558
"11.2_B",58300.8257393457,1348203.30473644,23.1249435602174,27.3415724005408,254498372717.793,18.1265531535662,4365261.88935329
"11.4_D",63427.7639664818,733588.052136795,11.5657246332136,27.2177366150044,147868325796.903,18.980475587509,2331287.06657614
"12.4_B",47817.0299218841,661823.988193858,13.8407590198522,27.631520398803,131774637912.784,19.1616551241039,2755809.76334282
"12.5_A",50604.0322939319,1329634.88707834,26.2752754435694,27.548170202961,202095396073.686,18.4891348560879,3993661.9062256
"12.6_C",27329.5168519345,460471.808277112,16.8488821361845,28.4484865014875,127000419795.955,19.2211043985875,4647005.67097531
"13.2_D",42865.0376891781,762818.741878023,17.7958257591969,27.7917464927795,129880290532.149,19.184594818304,3029981.95111675
"13.3_A",23093.3201402697,421888.507872975,18.2688545999626,28.7229224528846,82408309893.8315,19.9095416730228,3568491.20842219
"13.3_C",50402.2199342891,915369.976641709,18.1613027726776,27.5542308247539,207534020751.66,18.4472175015964,4117557.14375733
"17.4_A",51494.2823269303,784370.756726715,15.2321912508043,27.5249071394764,169450537378.95,18.7662055374537,3290667.03567459
"17.4_B",62273.1592366884,876034.403271012,14.0676081639181,27.2445970955904,171194692894.732,18.7520010894529,2749092.78721598
"2.2_C",82669.4365439965,1338005.12955991,16.1850036179674,26.8308555941803,243256633490.861,18.1977668609696,2942521.97257206
"2.4_D",56752.2146948634,789134.804865421,13.9049164708077,27.3820765604869,248453900322.987,18.1640727844362,4377871.44799257
"3.2_D",65946.007110294,1090294.34490859,16.5331366171281,27.1610844913492,209894667162.045,18.4297669160113,3182826.01721433
"3.3_A",57620.573758591,857728.545979948,14.8858036293341,27.3580571083471,158698128815.959,18.869048668105,2754192.09605315
"3.4_B",75967.9880873452,1242232.39130409,16.3520506805553,26.9559765593882,234623818551.094,18.2540640857909,3088456.39404498
"5.1_B",35188.9863023049,863545.961330553,24.5402340923356,28.0788847800634,152380203886.829,18.932881903772,4330337.98068937
"5.5_C",43585.4477559712,608392.633524128,13.9586184115954,27.7660106295864,135293452097.003,19.1200228271298,3104096.87321539
"6.3_B",54133.0217827368,959123.826674347,17.7179066508387,27.4497551896993,216902634225.026,18.3778721526807,4006845.12118252
"6.5_A",55719.0903614318,923154.178558101,16.5680051948066,27.4076463414505,198597080906.557,18.5163610467318,3564255.61900458
"7.3_C",73266.1580969097,1420834.2841246,19.3927772525653,27.0070871036913,181604842426.038,18.6570000922101,2478700.22317572
"7.3_D",69891.9448630778,1156843.41893471,16.5518847873103,27.0759644605076,189910061322.801,18.5866008061487,2717195.26041013
"7.4_C",64287.3414351682,976081.380445546,15.1831038374778,27.202474583071,164791289899.086,18.809759213913,2563355.18346599
"8.1_D",40186.7307152275,719903.119598869,17.913950868516,27.8925949601713,155974723357.748,18.9007475054971,3881249.37216269
"8.2_D",52102.5278211383,995674.491760613,19.1099075879513,27.5085028319628,191759312756.495,18.5726949899459,3680422.44350949
"9.1_B",54341.0992543509,1195208.1587449,21.9945524684837,27.4444567121774,178723894561.034,18.6821026389736,3288926.74262058
"9.5_C",46479.2953996329,667252.905796428,14.3559169746299,27.6770360129421,148157102325.006,18.977139557162,3187593.55216422
"9.5_D",31931.9644459311,375079.207428324,11.7461989557025,28.2205961327115,83496231790.7213,19.8790827010591,2614816.63403771
